category,preference
米,1
油,1
糖,1
鹽,1
米酒,1
醬油,1
麵條,16
沖泡飲,14
罐頭_瓜,5
罐頭_魚,1
冬粉與炊粉,2
罐頭_筍菇,6
泡麵_家庭號,7
餅乾_洋芋片,15
餅乾_組合包,8
餅乾_蘇打餅,4
餅乾_中西小點,11
餅乾_堅果海苔,13
飲料_汽水_家庭號,10
飲料_甜品_多入裝,12
罐頭_肉醬_多入裝,3
罐頭_麵筋_多入裝,9
