item,i_id
J2-45,102045
J2-46,102046
J2-47,102047
J2-48,102048
J2-49,102049
J2-50,102050
J2-51,102051
J2-52,102052
J2-53,102053
J2-54,102054
J2-55,102055
J2-56,102056
J2-57,102057
J2-58,102058
J2-59,102059
J2-60,102060
J2-61,102061
J2-62,102062
J2-63,102063
J2-64,102064
J2-65,102065
J2-66,102066
J2-67,102067
J2-68,102068
J2-69,102069
J2-70,102070
J2-71,102071
J2-72,102072
J2-73,102073
J2-74,102074
J2-75,102075
J2-76,102076
J2-77,102077
J2-78,102078
K1-1,111001
K1-2,111002
K1-3,111003
K1-4,111004
K1-5,111005
K1-6,111006
K1-7,111007
K1-8,111008
K1-9,111009
K1-10,111010
K1-11,111011
K1-12,111012
K1-13,111013
K1-14,111014
K1-15,111015
K1-16,111016
K1-17,111017
K1-18,111018
K1-19,111019
K1-20,111020
K1-21,111021
K1-22,111022
K1-23,111023
K1-24,111024
K1-25,111025
K1-26,111026
K1-27,111027
K1-28,111028
K1-29,111029
L1-1,121001
L1-2,121002
L1-3,121003
L1-4,121004
L1-5,121005
L1-6,121006
L1-7,121007
L1-8,121008
L1-9,121009
L1-10,121010
L1-11,121011
L1-12,121012
L1-13,121013
L1-14,121014
L1-15,121015
L1-16,121016
L1-17,121017
L1-18,121018
L1-19,121019
L1-20,121020
L1-21,121021
L1-22,121022
L1-23,121023
L1-24,121024
L1-25,121025
L1-26,121026
L1-27,121027
L1-28,121028
L1-29,121029
L1-30,121030
L1-31,121031
L1-32,121032
L1-33,121033
L1-34,121034
L1-35,121035
L1-36,121036
L1-37,121037
L1-38,121038
L1-39,121039
L1-40,121040
L1-41,121041
L1-42,121042
L1-43,121043
L1-44,121044
L1-45,121045
L1-46,121046
L1-47,121047
L1-48,121048
L1-49,121049
L1-50,121050
L1-51,121051
L1-52,121052
L1-53,121053
L1-54,121054
L1-55,121055
L1-56,121056
L1-57,121057
L1-58,121058
L1-59,121059
L2-1,122001
L2-2,122002
L2-3,122003
L2-4,122004
L2-5,122005
L2-6,122006
L2-7,122007
L2-8,122008
L2-9,122009
L2-10,122010
L2-11,122011
L2-12,122012
L2-13,122013
L2-14,122014
L2-15,122015
L2-16,122016
L2-17,122017
L2-18,122018
L2-19,122019
L2-20,122020
L2-21,122021
L2-22,122022
L2-23,122023
L2-24,122024
L2-25,122025
L2-26,122026
L2-27,122027
L2-28,122028
L2-29,122029
L2-30,122030
L2-31,122031
L2-32,122032
L2-33,122033
L3-1,123001
L3-2,123002
L3-3,123003
L3-4,123004
L3-5,123005
L3-6,123006
L3-7,123007
L3-8,123008
L3-9,123009
L3-10,123010
L3-11,123011
L3-12,123012
L3-13,123013
L3-14,123014
L3-15,123015
L3-16,123016
L3-17,123017
L3-18,123018
L3-19,123019
L3-20,123020
L3-21,123021
L3-22,123022
L3-23,123023
L3-24,123024
L3-25,123025
L3-26,123026
L3-27,123027
L3-28,123028
L3-29,123029
L4-1,124001
L4-2,124002
L4-3,124003
L4-4,124004
L4-5,124005
L4-6,124006
L4-7,124007
L4-8,124008
L4-9,124009
L4-10,124010
L4-11,124011
L4-12,124012
L4-13,124013
L4-14,124014
L4-15,124015
L4-16,124016
L4-17,124017
L4-18,124018
L4-19,124019
L4-20,124020
L4-21,124021
L4-22,124022
L4-23,124023
L4-24,124024
L4-25,124025
L4-26,124026
L4-27,124027
L4-28,124028
L4-29,124029
L4-30,124030
L4-31,124031
L4-32,124032
L4-33,124033
L4-34,124034
L4-35,124035
L4-36,124036
L4-37,124037
L4-38,124038
L4-39,124039
L4-40,124040
L4-41,124041
L4-42,124042
L4-43,124043
L4-44,124044
L4-45,124045
L4-46,124046
L4-47,124047
L4-48,124048
L4-49,124049
L4-50,124050
L4-51,124051
L4-52,124052
L4-53,124053
L4-54,124054
L4-55,124055
L5-1,125001
L5-2,125002
L5-3,125003
L5-4,125004
L5-5,125005
L5-6,125006
L5-7,125007
L5-8,125008
L5-9,125009
L5-10,125010
L5-11,125011
L5-12,125012
L5-13,125013
L5-14,125014
L5-15,125015
L5-16,125016
L5-17,125017
L5-18,125018
L5-19,125019
L5-20,125020
L5-21,125021
L5-22,125022
L5-23,125023
L5-24,125024
L5-25,125025
L5-26,125026
L5-27,125027
L5-28,125028
L5-29,125029
L5-30,125030
L5-31,125031
L5-32,125032
L5-33,125033
L5-34,125034
L5-35,125035
L5-36,125036
L5-37,125037
L5-38,125038
